Country1,Country2,Footrule
BRA,ITA,84.0
BRA,JOR,108.0
BRA,JPN,172.0
BRA,KAZ,74.0
BRA,KOR,204.0
BRA,KSV,76.0
BRA,LTU,130.0
BRA,LUX,98.0
BRA,LVA,136.0
BRA,MAC,162.0
BRA,MAR,20.0
BRA,MDA,80.0
BRA,MEX,98.0
BRA,MLT,120.0
BRA,MNE,130.0
BRA,MYS,140.0
BRA,NLD,52.0
BRA,NOR,146.0
BRA,NZL,82.0
BRA,PAN,70.0
BRA,PER,70.0
BRA,PHL,134.0
BRA,POL,46.0
BRA,PRT,132.0
BRA,QAT,114.0
BRA,QAZ,68.0
BRA,QCI,78.0
BRA,QMR,160.0
BRA,QRT,122.0
BRA,ROU,106.0
BRA,RUS,96.0
BRA,SAU,48.0
BRA,SGP,156.0
BRA,SRB,58.0
BRA,SVK,80.0
BRA,SVN,118.0
BRA,SWE,182.0
BRA,TAP,128.0
BRA,THA,126.0
BRA,TUR,130.0
BRA,UKR,90.0
BRA,URY,44.0
BRA,USA,184.0
BRA,VNM,188.0
BRN,CAN,158.0
BRN,CHE,110.0
BRN,CHL,64.0
BRN,COL,86.0
BRN,CRI,148.0
BRN,CZE,112.0
BRN,DEU,102.0
BRN,DNK,116.0
BRN,DOM,72.0
BRN,ESP,144.0
BRN,EST,148.0
BRN,FIN,192.0
BRN,FRA,118.0
BRN,GBR,142.0
BRN,GEO,114.0
BRN,GRC,122.0
BRN,HKG,118.0
BRN,HRV,144.0
BRN,HUN,104.0
BRN,IDN,132.0
BRN,IRL,122.0
BRN,ISL,158.0
BRN,ITA,84.0
BRN,JOR,142.0
BRN,JPN,194.0
BRN,KAZ,116.0
BRN,KOR,230.0
BRN,KSV,140.0
BRN,LTU,132.0
BRN,LUX,176.0
BRN,LVA,146.0
BRN,MAC,168.0
BRN,MAR,120.0
BRN,MDA,82.0
BRN,MEX,78.0
BRN,MLT,112.0
BRN,MNE,86.0
BRN,MYS,166.0
BRN,NLD,112.0
BRN,NOR,166.0
BRN,NZL,84.0
BRN,PAN,150.0
BRN,PER,60.0
BRN,PHL,150.0
BRN,POL,88.0
BRN,PRT,146.0
BRN,QAT,172.0
BRN,QAZ,96.0
BRN,QCI,144.0
BRN,QMR,136.0
BRN,QRT,118.0
BRN,ROU,110.0
BRN,RUS,62.0
BRN,SAU,112.0
BRN,SGP,164.0
BRN,SRB,96.0
BRN,SVK,90.0
BRN,SVN,84.0
BRN,SWE,178.0
BRN,TAP,144.0
BRN,THA,114.0
BRN,TUR,112.0
BRN,UKR,92.0
BRN,URY,144.0
BRN,USA,162.0
BRN,VNM,198.0
CAN,CHE,128.0
CAN,CHL,146.0
CAN,COL,164.0
CAN,CRI,156.0
CAN,CZE,132.0
CAN,DEU,110.0
CAN,DNK,190.0
CAN,DOM,166.0
CAN,ESP,134.0
CAN,EST,164.0
CAN,FIN,142.0
CAN,FRA,118.0
CAN,GBR,90.0
CAN,GEO,156.0
CAN,GRC,136.0
CAN,HKG,130.0
CAN,HRV,128.0
CAN,HUN,162.0
CAN,IDN,162.0
CAN,IRL,162.0
CAN,ISL,138.0
CAN,ITA,126.0
CAN,JOR,166.0
CAN,JPN,144.0
CAN,KAZ,172.0
CAN,KOR,234.0
CAN,KSV,194.0
CAN,LTU,198.0
CAN,LUX,196.0
CAN,LVA,132.0
CAN,MAC,136.0
CAN,MAR,176.0
CAN,MDA,160.0
CAN,MEX,118.0
CAN,MLT,152.0
CAN,MNE,128.0
CAN,MYS,140.0
CAN,NLD,154.0
CAN,NOR,164.0
CAN,NZL,116.0
CAN,PAN,158.0
CAN,PER,150.0
CAN,PHL,236.0
CAN,POL,140.0
CAN,PRT,202.0
CAN,QAT,192.0
CAN,QAZ,194.0
CAN,QCI,136.0
CAN,QMR,192.0
CAN,QRT,186.0
CAN,ROU,132.0
CAN,RUS,136.0
CAN,SAU,146.0
CAN,SGP,158.0
CAN,SRB,170.0
CAN,SVK,122.0
CAN,SVN,190.0
CAN,SWE,118.0
CAN,TAP,160.0
CAN,THA,140.0
CAN,TUR,162.0
CAN,UKR,186.0
CAN,URY,140.0
CAN,USA,158.0
CAN,VNM,186.0
CHE,CHL,72.0
CHE,COL,102.0
CHE,CRI,122.0
CHE,CZE,108.0
CHE,DEU,60.0
CHE,DNK,134.0
CHE,DOM,100.0
CHE,ESP,98.0
CHE,EST,128.0
CHE,FIN,128.0
CHE,FRA,84.0
CHE,GBR,164.0
CHE,GEO,120.0
CHE,GRC,102.0
CHE,HKG,132.0
CHE,HRV,100.0
CHE,HUN,96.0
CHE,IDN,172.0
CHE,IRL,162.0
CHE,ISL,118.0
CHE,ITA,76.0
CHE,JOR,140.0
CHE,JPN,190.0
CHE,KAZ,100.0
CHE,KOR,210.0
CHE,KSV,132.0
CHE,LTU,124.0
CHE,LUX,140.0
CHE,LVA,134.0
CHE,MAC,216.0
CHE,MAR,76.0
CHE,MDA,116.0
CHE,MEX,94.0
CHE,MLT,150.0
CHE,MNE,136.0
CHE,MYS,138.0
CHE,NLD,80.0
CHE,NOR,156.0
CHE,NZL,38.0
CHE,PAN,56.0
CHE,PER,84.0
CHE,PHL,134.0
CHE,POL,78.0
CHE,PRT,166.0
CHE,QAT,138.0
CHE,QAZ,98.0
CHE,QCI,144.0
CHE,QMR,152.0
CHE,QRT,126.0
CHE,ROU,100.0
CHE,RUS,108.0
CHE,SAU,100.0
CHE,SGP,158.0
CHE,SRB,78.0
CHE,SVK,74.0
CHE,SVN,122.0
CHE,SWE,162.0
CHE,TAP,144.0
CHE,THA,116.0
CHE,TUR,156.0
CHE,UKR,132.0
CHE,URY,76.0
CHE,USA,194.0
CHE,VNM,186.0
CHL,COL,78.0
CHL,CRI,118.0
CHL,CZE,112.0
CHL,DEU,72.0
CHL,DNK,96.0
CHL,DOM,96.0
CHL,ESP,86.0
CHL,EST,102.0
CHL,FIN,156.0
CHL,FRA,76.0
CHL,GBR,122.0
CHL,GEO,92.0
CHL,GRC,74.0
CHL,HKG,96.0
CHL,HRV,92.0
CHL,HUN,68.0
CHL,IDN,164.0
CHL,IRL,102.0
CHL,ISL,118.0
CHL,ITA,36.0
CHL,JOR,124.0
CHL,JPN,188.0
CHL,KAZ,92.0
CHL,KOR,214.0
CHL,KSV,122.0
CHL,LTU,140.0
CHL,LUX,136.0
CHL,LVA,128.0
CHL,MAC,152.0
CHL,MAR,84.0
CHL,MDA,108.0
CHL,MEX,80.0
CHL,MLT,94.0
CHL,MNE,96.0
CHL,MYS,166.0
CHL,NLD,72.0
CHL,NOR,152.0
CHL,NZL,68.0
CHL,PAN,112.0
CHL,PER,82.0
CHL,PHL,152.0
CHL,POL,68.0
CHL,PRT,112.0
CHL,QAT,136.0
CHL,QAZ,84.0
CHL,QCI,130.0
CHL,QMR,140.0
CHL,QRT,100.0
CHL,ROU,112.0
CHL,RUS,58.0
CHL,SAU,104.0
CHL,SGP,162.0
CHL,SRB,54.0
CHL,SVK,40.0
CHL,SVN,84.0
CHL,SWE,166.0
CHL,TAP,128.0
CHL,THA,120.0
CHL,TUR,128.0
CHL,UKR,110.0
CHL,URY,92.0
CHL,USA,150.0
CHL,VNM,216.0
COL,CRI,100.0
COL,CZE,92.0
COL,DEU,112.0
COL,DNK,102.0
COL,DOM,132.0
COL,ESP,118.0
COL,EST,110.0
COL,FIN,154.0
COL,FRA,96.0
COL,GBR,170.0
COL,GEO,106.0
COL,GRC,132.0
COL,HKG,108.0
COL,HRV,92.0
COL,HUN,40.0
COL,IDN,158.0
COL,IRL,96.0
COL,ISL,154.0
COL,ITA,108.0
COL,JOR,150.0
COL,JPN,162.0
COL,KAZ,128.0
COL,KOR,206.0
COL,KSV,124.0
COL,LTU,142.0
COL,LUX,150.0
COL,LVA,90.0
COL,MAC,176.0
COL,MAR,76.0
COL,MDA,78.0
COL,MEX,66.0
COL,MLT,130.0
COL,MNE,96.0
COL,MYS,114.0
COL,NLD,86.0
COL,NOR,146.0
COL,NZL,82.0
COL,PAN,100.0
COL,PER,66.0
COL,PHL,160.0
COL,POL,46.0
COL,PRT,132.0
COL,QAT,132.0
COL,QAZ,76.0
COL,QCI,104.0
COL,QMR,122.0
COL,QRT,128.0
COL,ROU,98.0
COL,RUS,74.0
COL,SAU,74.0
COL,SGP,164.0
COL,SRB,62.0
COL,SVK,78.0
COL,SVN,110.0
COL,SWE,164.0
COL,TAP,102.0
COL,THA,164.0
COL,TUR,156.0
COL,UKR,88.0
COL,URY,100.0
COL,USA,170.0
COL,VNM,210.0
CRI,CZE,136.0
CRI,DEU,138.0
CRI,DNK,116.0
CRI,DOM,126.0
CRI,ESP,114.0
CRI,EST,96.0
CRI,FIN,152.0
CRI,FRA,126.0
CRI,GBR,98.0
CRI,GEO,68.0
CRI,GRC,114.0
CRI,HKG,94.0
CRI,HRV,144.0
CRI,HUN,118.0
CRI,IDN,242.0
CRI,IRL,100.0
CRI,ISL,120.0
CRI,ITA,124.0
CRI,JOR,184.0
CRI,JPN,158.0
CRI,KAZ,110.0
CRI,KOR,172.0
CRI,KSV,152.0
CRI,LTU,134.0
CRI,LUX,160.0
CRI,LVA,126.0
CRI,MAC,158.0
CRI,MAR,110.0
CRI,MDA,112.0
CRI,MEX,102.0
CRI,MLT,152.0
CRI,MNE,154.0
CRI,MYS,166.0
