Country1,Country2,Footrule
BGR,BLR,232.0
BGR,BRA,162.0
BGR,BRN,172.0
BGR,CAN,234.0
BGR,CHE,132.0
BGR,CHL,188.0
BGR,COL,128.0
BGR,CRI,156.0
BGR,CZE,238.0
BGR,DEU,188.0
BGR,DNK,172.0
BGR,DOM,134.0
BGR,ESP,150.0
BGR,EST,194.0
BGR,FIN,240.0
BGR,FRA,190.0
BGR,GBR,192.0
BGR,GEO,160.0
BGR,GRC,124.0
BGR,HKG,238.0
BGR,HRV,196.0
BGR,HUN,198.0
BGR,IDN,278.0
BGR,IRL,182.0
BGR,ISL,182.0
BGR,ITA,182.0
BGR,JOR,134.0
BGR,JPN,224.0
BGR,KAZ,170.0
BGR,KOR,196.0
BGR,KSV,160.0
BGR,LTU,166.0
BGR,LUX,248.0
BGR,LVA,200.0
BGR,MAC,238.0
BGR,MAR,120.0
BGR,MDA,164.0
BGR,MEX,226.0
BGR,MLT,180.0
BGR,MNE,124.0
BGR,MYS,270.0
BGR,NLD,300.0
BGR,NOR,270.0
BGR,NZL,168.0
BGR,PAN,92.0
BGR,PER,158.0
BGR,PHL,198.0
BGR,POL,180.0
BGR,PRT,170.0
BGR,QAT,176.0
BGR,QAZ,164.0
BGR,QCI,234.0
BGR,QMR,172.0
BGR,QRT,206.0
BGR,ROU,156.0
BGR,RUS,126.0
BGR,SAU,116.0
BGR,SGP,260.0
BGR,SRB,132.0
BGR,SVK,156.0
BGR,SVN,158.0
BGR,SWE,246.0
BGR,TAP,272.0
BGR,THA,202.0
BGR,TUR,190.0
BGR,UKR,142.0
BGR,URY,132.0
BGR,USA,272.0
BGR,VNM,236.0
BIH,BLR,154.0
BIH,BRA,152.0
BIH,BRN,138.0
BIH,CAN,126.0
BIH,CHE,114.0
BIH,CHL,88.0
BIH,COL,122.0
BIH,CRI,184.0
BIH,CZE,164.0
BIH,DEU,148.0
BIH,DNK,156.0
BIH,DOM,142.0
BIH,ESP,104.0
BIH,EST,116.0
BIH,FIN,188.0
BIH,FRA,134.0
BIH,GBR,120.0
BIH,GEO,112.0
BIH,GRC,94.0
BIH,HKG,192.0
BIH,HRV,122.0
BIH,HUN,154.0
BIH,IDN,192.0
BIH,IRL,148.0
BIH,ISL,150.0
BIH,ITA,86.0
BIH,JOR,114.0
BIH,JPN,210.0
BIH,KAZ,98.0
BIH,KOR,210.0
BIH,KSV,116.0
BIH,LTU,130.0
BIH,LUX,160.0
BIH,LVA,156.0
BIH,MAC,222.0
BIH,MAR,70.0
BIH,MDA,224.0
BIH,MEX,154.0
BIH,MLT,78.0
BIH,MNE,78.0
BIH,MYS,168.0
BIH,NLD,202.0
BIH,NOR,154.0
BIH,NZL,114.0
BIH,PAN,106.0
BIH,PER,124.0
BIH,PHL,198.0
BIH,POL,136.0
BIH,PRT,232.0
BIH,QAT,132.0
BIH,QAZ,84.0
BIH,QCI,216.0
BIH,QMR,132.0
BIH,QRT,94.0
BIH,ROU,154.0
BIH,RUS,88.0
BIH,SAU,98.0
BIH,SGP,222.0
BIH,SRB,80.0
BIH,SVK,84.0
