,AGE,ATTLNACT,BELONG,BSMJ,COMPETE,DISCLIMA,DURECEC,EDUSHORT,EMOSUPS,EUDMO,GFOFAIL,GRADE,JOYREAD,MASTGOAL,METASPAM,METASUM,PERCOMP,PERCOOP,PV1MATH,PV1READ,PV1SCIE,RATCMP2,REPEAT,SCREADCOMP,SCREADDIFF,ST004D01T,ST184Q01HA,ST185Q01HA,ST206Q01HA,ST207Q01HA,ST207Q02HA,ST207Q03HA,ST207Q04HA,ST207Q05HA,SWBP,TEACHINT,TEACHSUP,UNDREM,WORKMAST
MYS,0.1,0.1,8.0,0.1,0.1,6.0,0.1,0.1,2.0,0.1,0.1,0.1,1.0,0.1,0.1,0.1,0.1,4.0,5.0,9.0,10.0,0.1,0.1,0.1,0.1,7.0,0.1,0.1,0.1,0.1,0.1,0.1,3.0,0.1,0.1,0.1,0.1,0.1,0.1
NLD,0.1,0.1,10.0,0.1,0.1,1.0,0.1,0.1,7.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,6.0,0.1,0.1,0.1,0.1,0.1,3.0,5.0,0.1,9.0,4.0,0.1,0.1,0.1,8.0,0.1,2.0,0.1,0.1,0.1,0.1,0.1,0.1
NOR,0.1,0.1,10.0,0.1,0.1,9.0,0.1,0.1,5.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.1,2.0,0.1,0.1,0.1,0.1,0.1,6.0,0.1,0.1,8.0,4.0,0.1,7.0,0.1,0.1,0.1,0.1,3.0,0.1,0.1
NZL,0.1,0.1,9.0,0.1,0.1,3.0,0.1,0.1,5.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.0,0.1,0.1,0.1,0.1,0.1,10.0,0.1,0.1,1.0,4.0,7.0,8.0,0.1,6.0,0.1,0.1,0.1,0.1,0.1
PAN,0.1,4.0,3.0,0.1,0.1,0.1,0.1,0.1,10.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,9.0,6.0,0.1,5.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8.0,7.0,0.1,1.0,0.1,2.0,0.1,0.1,0.1,0.1,0.1
PER,0.1,0.1,8.0,0.1,0.1,1.0,0.1,0.1,10.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,7.0,9.0,0.1,6.0,0.1,0.1,0.1,0.1,0.1,5.0,0.1,0.1,0.1,4.0,2.0,0.1,3.0,0.1,0.1,0.1,0.1,0.1,0.1
PHL,0.1,0.1,0.1,0.1,0.1,5.0,0.1,0.1,9.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8.0,7.0,6.0,10.0,0.1,0.1,0.1,0.1,2.0,1.0,0.1,0.1,0.1,0.1,4.0,0.1,0.1,3.0,0.1,0.1,0.1,0.1,0.1
POL,0.1,0.1,1.0,0.1,0.1,0.1,0.1,0.1,8.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.0,0.1,6.0,0.1,0.1,0.1,0.1,0.1,5.0,0.1,0.1,7.0,2.0,10.0,0.1,4.0,9.0,0.1,0.1,0.1,0.1,0.1
PRT,0.1,0.1,8.0,0.1,0.1,0.1,0.1,0.1,7.0,0.1,0.1,0.1,0.1,0.1,1.0,0.1,2.0,0.1,0.1,9.0,5.0,0.1,10.0,0.1,0.1,4.0,0.1,0.1,6.0,0.1,3.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
QAT,0.1,4.0,10.0,0.1,0.1,0.1,0.1,0.1,8.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,7.0,0.1,0.1,0.1,0.1,0.1,9.0,3.0,0.1,2.0,0.1,1.0,6.0,0.1,5.0,0.1,0.1,0.1,0.1,0.1
QAZ,0.1,0.1,9.0,0.1,0.1,0.1,0.1,0.1,10.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8.0,7.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,5.0,4.0,0.1,0.1,0.1,6.0,2.0,1.0,3.0,0.1,0.1,0.1,0.1,0.1
QCI,0.1,0.1,10.0,0.1,0.1,9.0,0.1,0.1,0.1,0.1,7.0,0.1,0.1,0.1,0.1,0.1,4.0,0.1,1.0,0.1,0.1,0.1,0.1,0.1,0.1,8.0,0.1,0.1,5.0,6.0,3.0,0.1,0.1,0.1,0.1,2.0,0.1,0.1,0.1
QMR,0.1,0.1,6.0,0.1,0.1,0.1,0.1,0.1,10.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8.0,7.0,0.1,9.0,0.1,0.1,0.1,0.1,0.1,5.0,0.1,0.1,0.1,0.1,4.0,3.0,0.1,1.0,0.1,0.1,0.1,2.0,0.1
QRT,0.1,0.1,10.0,0.1,0.1,0.1,0.1,0.1,8.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,6.0,1.0,0.1,2.0,0.1,0.1,0.1,0.1,0.1,4.0,0.1,0.1,0.1,0.1,9.0,5.0,3.0,7.0,0.1,0.1,0.1,0.1,0.1
ROU,0.1,0.1,9.0,0.1,0.1,5.0,0.1,0.1,10.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.0,6.0,0.1,7.0,0.1,0.1,0.1,0.1,0.1,8.0,0.1,0.1,0.1,2.0,4.0,0.1,3.0,0.1,0.1,0.1,0.1,0.1,0.1
RUS,0.1,0.1,9.0,0.1,0.1,0.1,0.1,0.1,10.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.0,2.0,0.1,5.0,0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,7.0,0.1,8.0,3.0,6.0,0.1,0.1,0.1,0.1,0.1,0.1
SAU,0.1,0.1,7.0,0.1,0.1,0.1,0.1,0.1,10.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,5.0,0.1,2.0,0.1,0.1,0.1,0.1,0.1,8.0,0.1,0.1,9.0,6.0,4.0,3.0,1.0,0.1,0.1,0.1,0.1,0.1,0.1
SGP,0.1,0.1,9.0,0.1,1.0,8.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.0,0.1,5.0,2.0,7.0,0.1,0.1,0.1,0.1,3.0,10.0,0.1,0.1,6.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
SRB,0.1,0.1,8.0,0.1,0.1,0.1,0.1,0.1,10.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.0,0.1,0.1,1.0,0.1,0.1,0.1,0.1,2.0,5.0,0.1,0.1,0.1,7.0,9.0,6.0,4.0,0.1,0.1,0.1,0.1,0.1,0.1
SVK,0.1,0.1,1.0,0.1,0.1,0.1,0.1,0.1,10.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.0,0.1,0.1,0.1,0.1,0.1,2.0,0.1,0.1,3.0,5.0,9.0,8.0,7.0,6.0,0.1,0.1,0.1,0.1,0.1
SVN,0.1,0.1,1.0,0.1,0.1,0.1,0.1,0.1,10.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,5.0,4.0,0.1,6.0,0.1,0.1,0.1,0.1,0.1,9.0,0.1,0.1,0.1,8.0,7.0,3.0,2.0,0.1,0.1,0.1,0.1,0.1,0.1
SWE,0.1,0.1,8.0,0.1,0.1,6.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,5.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,10.0,0.1,0.1,7.0,9.0,0.1,2.0,1.0,0.1,3.0,0.1,4.0,0.1,0.1
TAP,5.0,0.1,10.0,0.1,0.1,9.0,0.1,0.1,6.0,0.1,2.0,7.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,8.0,0.1,0.1,3.0,0.1,4.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
THA,0.1,0.1,9.0,0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,6.0,10.0,0.1,0.1,0.1,0.1,0.1,7.0,0.1,0.1,0.1,3.0,5.0,4.0,2.0,8.0,0.1,0.1,0.1,0.1,0.1
TUR,0.1,0.1,8.0,0.1,0.1,1.0,0.1,0.1,7.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.0,0.1,9.0,2.0,0.1,0.1,0.1,0.1,10.0,0.1,0.1,0.1,0.1,6.0,0.1,3.0,5.0,0.1,0.1,0.1,0.1,0.1
UKR,0.1,0.1,9.0,0.1,0.1,3.0,0.1,0.1,10.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.0,5.0,0.1,8.0,0.1,0.1,0.1,0.1,0.1,6.0,0.1,0.1,0.1,0.1,4.0,0.1,2.0,7.0,0.1,0.1,0.1,0.1,0.1
URY,0.1,0.1,6.0,0.1,0.1,0.1,0.1,0.1,7.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.0,0.1,0.1,5.0,9.0,10.0,3.0,1.0,4.0,0.1,0.1,0.1,0.1,0.1
USA,0.1,0.1,10.0,0.1,0.1,5.0,0.1,0.1,6.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.0,9.0,0.1,0.1,0.1,0.1,0.1,8.0,0.1,1.0,4.0,0.1,2.0,7.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1
VNM,0.1,0.1,6.0,0.1,0.1,8.0,0.1,1.0,0.1,0.1,0.1,9.0,0.1,0.1,0.1,0.1,5.0,0.1,0.1,0.1,0.1,0.1,7.0,0.1,0.1,10.0,3.0,0.1,0.1,0.1,0.1,4.0,2.0,0.1,0.1,0.1,0.1,0.1,0.1
