Country,Type,Rank,Feature,Importance
GRC,BEINGBULLIED,7,SCREADDIFF,0.027768545
GRC,BEINGBULLIED,8,ST207Q02HA,0.027493887
GRC,BEINGBULLIED,9,ST207Q05HA,0.024434362
GRC,BEINGBULLIED,10,ST207Q01HA,0.022494648
HKG,BEINGBULLIED,1,ST004D01T,0.08551857
HKG,BEINGBULLIED,2,BELONG,0.07312824
HKG,BEINGBULLIED,3,ST207Q02HA,0.042419318
HKG,BEINGBULLIED,4,DISCLIMA,0.03298025
HKG,BEINGBULLIED,5,EMOSUPS,0.029215574
HKG,BEINGBULLIED,6,ST185Q01HA,0.027313853
HKG,BEINGBULLIED,7,SCREADDIFF,0.024972528
HKG,BEINGBULLIED,8,ST207Q05HA,0.024776028
HKG,BEINGBULLIED,9,ST207Q01HA,0.023998765
HKG,BEINGBULLIED,10,GFOFAIL,0.0236409
HRV,BEINGBULLIED,1,BELONG,0.084442824
HRV,BEINGBULLIED,2,PERCOMP,0.04000429
HRV,BEINGBULLIED,3,SWBP,0.037522547
HRV,BEINGBULLIED,4,PV1READ,0.02990691
HRV,BEINGBULLIED,5,ST004D01T,0.029655617
HRV,BEINGBULLIED,6,EMOSUPS,0.028813343
HRV,BEINGBULLIED,7,ST207Q03HA,0.026986806
HRV,BEINGBULLIED,8,ST207Q05HA,0.02623912
HRV,BEINGBULLIED,9,DISCLIMA,0.026138842
HRV,BEINGBULLIED,10,ST207Q02HA,0.025656791
HUN,BEINGBULLIED,1,BELONG,0.10678507
HUN,BEINGBULLIED,2,ST004D01T,0.055708915
HUN,BEINGBULLIED,3,EMOSUPS,0.033715677
HUN,BEINGBULLIED,4,SCREADDIFF,0.030063743
HUN,BEINGBULLIED,5,PERCOMP,0.029491194
HUN,BEINGBULLIED,6,ST207Q02HA,0.029397165
HUN,BEINGBULLIED,7,GFOFAIL,0.027039142
HUN,BEINGBULLIED,8,SWBP,0.026254175
HUN,BEINGBULLIED,9,ST207Q03HA,0.023488397
HUN,BEINGBULLIED,10,PERCOOP,0.022856208
IDN,BEINGBULLIED,1,BELONG,0.07100099
IDN,BEINGBULLIED,2,ST004D01T,0.064409524
IDN,BEINGBULLIED,3,DISCLIMA,0.05002868
IDN,BEINGBULLIED,4,GRADE,0.047854804
IDN,BEINGBULLIED,5,ST207Q03HA,0.042187005
IDN,BEINGBULLIED,6,PV1READ,0.03146003
IDN,BEINGBULLIED,7,ST207Q01HA,0.03138264
IDN,BEINGBULLIED,8,ST207Q05HA,0.02944097
IDN,BEINGBULLIED,9,ST207Q04HA,0.029098442
IDN,BEINGBULLIED,10,ST207Q02HA,0.025981538
IRL,BEINGBULLIED,1,BELONG,0.124821246
IRL,BEINGBULLIED,2,GFOFAIL,0.043354902
IRL,BEINGBULLIED,3,ST004D01T,0.03908585
IRL,BEINGBULLIED,4,ST207Q01HA,0.03218191
IRL,BEINGBULLIED,5,PERCOMP,0.03002874
IRL,BEINGBULLIED,6,PERCOOP,0.027446397
IRL,BEINGBULLIED,7,DISCLIMA,0.027159339
IRL,BEINGBULLIED,8,SWBP,0.025394984
IRL,BEINGBULLIED,9,ATTLNACT,0.022995062
IRL,BEINGBULLIED,10,ST207Q02HA,0.022986071
ISL,BEINGBULLIED,1,BELONG,0.07954118
ISL,BEINGBULLIED,2,SWBP,0.038031068
ISL,BEINGBULLIED,3,REPEAT,0.035694037
ISL,BEINGBULLIED,4,DISCLIMA,0.034631927
