Country,Type,Prevalence
MAR,BULLY_THREAT,0.07191077194012327
MAR,BULLY_PHYSICAL,0.10507778103903728
MAR,BULLY_RELATIONAL,0.09201643674787202
MDA,BEINGBULLIED,0.01566750411861614
MDA,BULLY_VERBAL,0.10769517421278181
MDA,BULLY_THREAT,0.059623625861747714
MDA,BULLY_PHYSICAL,0.0937208869014347
MDA,BULLY_RELATIONAL,0.11924725172349543
MEX,BEINGBULLIED,-0.015500156576200436
MEX,BULLY_VERBAL,0.07398273736128237
MEX,BULLY_THREAT,0.03548431291957802
MEX,BULLY_PHYSICAL,0.052609946568023015
MEX,BULLY_RELATIONAL,0.06699547883271681
MKD,BULLY_VERBAL,0.0
MKD,BULLY_THREAT,0.0
MKD,BULLY_PHYSICAL,0.0
MKD,BULLY_RELATIONAL,0.0
MLT,BEINGBULLIED,0.328868693119767
MLT,BULLY_VERBAL,0.1641391614629795
MLT,BULLY_THREAT,0.104073743681237
MLT,BULLY_PHYSICAL,0.13143027059173357
MLT,BULLY_RELATIONAL,0.12518584597085936
MNE,BEINGBULLIED,-0.07327322704782849
MNE,BULLY_VERBAL,0.0927092709270927
MNE,BULLY_THREAT,0.09675967596759676
MNE,BULLY_PHYSICAL,0.11461146114611462
MNE,BULLY_RELATIONAL,0.12361236123612361
MYS,BEINGBULLIED,0.367803892944039
MYS,BULLY_VERBAL,0.2246768123056783
MYS,BULLY_THREAT,0.08738340697103583
MYS,BULLY_PHYSICAL,0.1503845524464081
MYS,BULLY_RELATIONAL,0.1561119293078056
NLD,BEINGBULLIED,-0.29299674728940783
NLD,BULLY_VERBAL,0.050577124868835255
NLD,BULLY_THREAT,0.012381951731374607
NLD,BULLY_PHYSICAL,0.03378803777544596
NLD,BULLY_RELATIONAL,0.04889821615949633
NOR,BEINGBULLIED,-0.12809455652835935
NOR,BULLY_VERBAL,0.10820574574230174
NOR,BULLY_THREAT,0.03492172716325477
NOR,BULLY_PHYSICAL,0.06984345432650954
NOR,BULLY_RELATIONAL,0.06743505934973336
