Country,Type,AUC,Rank,Feature,Importance
BEL,BULLY_THREAT,0.9887154208754209,4,EMOSUPS,0.031579666
BEL,BULLY_THREAT,0.9887154208754209,5,ST185Q01HA,0.030832326
BEL,BULLY_THREAT,0.9887154208754209,6,ST206Q01HA,0.03069212
BEL,BULLY_THREAT,0.9887154208754209,7,PERCOMP,0.02958748
BEL,BULLY_THREAT,0.9887154208754209,8,PV1MATH,0.027534103
BEL,BULLY_THREAT,0.9887154208754209,9,GRADE,0.027298741
BEL,BULLY_THREAT,0.9887154208754209,10,PV1SCIE,0.026232377
BEL,BULLY_PHYSICAL,0.9732312335214918,1,BELONG,0.0744415
BEL,BULLY_PHYSICAL,0.9732312335214918,2,ST004D01T,0.05672647
BEL,BULLY_PHYSICAL,0.9732312335214918,3,EMOSUPS,0.033994123
BEL,BULLY_PHYSICAL,0.9732312335214918,4,PV1READ,0.03160184
BEL,BULLY_PHYSICAL,0.9732312335214918,5,ST207Q02HA,0.03000279
BEL,BULLY_PHYSICAL,0.9732312335214918,6,PERCOMP,0.029233934
BEL,BULLY_PHYSICAL,0.9732312335214918,7,DISCLIMA,0.026197063
BEL,BULLY_PHYSICAL,0.9732312335214918,8,EUDMO,0.026115652
BEL,BULLY_PHYSICAL,0.9732312335214918,9,ST207Q04HA,0.024728186
BEL,BULLY_PHYSICAL,0.9732312335214918,10,ST207Q01HA,0.0246398
BEL,BULLY_RELATIONAL,0.9544956610711891,1,BELONG,0.07665973
BEL,BULLY_RELATIONAL,0.9544956610711891,2,PERCOMP,0.040604692
BEL,BULLY_RELATIONAL,0.9544956610711891,3,ST207Q02HA,0.036740746
BEL,BULLY_RELATIONAL,0.9544956610711891,4,GFOFAIL,0.03305456
BEL,BULLY_RELATIONAL,0.9544956610711891,5,ST207Q04HA,0.030683314
BEL,BULLY_RELATIONAL,0.9544956610711891,6,PV1MATH,0.029518623
BEL,BULLY_RELATIONAL,0.9544956610711891,7,ST207Q05HA,0.029197903
BEL,BULLY_RELATIONAL,0.9544956610711891,8,ST004D01T,0.02841221
BEL,BULLY_RELATIONAL,0.9544956610711891,9,REPEAT,0.028020844
BEL,BULLY_RELATIONAL,0.9544956610711891,10,EMOSUPS,0.026656652
BGR,BULLY_VERBAL,0.9647705103870083,1,BELONG,0.05525977
BGR,BULLY_VERBAL,0.9647705103870083,2,PERCOMP,0.04374412
BGR,BULLY_VERBAL,0.9647705103870083,3,ST207Q05HA,0.036778964
BGR,BULLY_VERBAL,0.9647705103870083,4,PERCOOP,0.03646096
BGR,BULLY_VERBAL,0.9647705103870083,5,ST207Q02HA,0.03329254
BGR,BULLY_VERBAL,0.9647705103870083,6,EMOSUPS,0.031377908
BGR,BULLY_VERBAL,0.9647705103870083,7,ST207Q04HA,0.030274272
BGR,BULLY_VERBAL,0.9647705103870083,8,ST004D01T,0.028026283
BGR,BULLY_VERBAL,0.9647705103870083,9,ST206Q01HA,0.027050722
BGR,BULLY_VERBAL,0.9647705103870083,10,ST207Q01HA,0.02602548
BGR,BULLY_THREAT,0.9689154225896628,1,EMOSUPS,0.080996886
BGR,BULLY_THREAT,0.9689154225896628,2,ST206Q01HA,0.044365298
BGR,BULLY_THREAT,0.9689154225896628,3,ST207Q04HA,0.036257405
BGR,BULLY_THREAT,0.9689154225896628,4,ST207Q02HA,0.03535126
BGR,BULLY_THREAT,0.9689154225896628,5,ST207Q01HA,0.033235505
BGR,BULLY_THREAT,0.9689154225896628,6,BELONG,0.032372873
BGR,BULLY_THREAT,0.9689154225896628,7,PERCOOP,0.032086108
BGR,BULLY_THREAT,0.9689154225896628,8,ST184Q01HA,0.03123769
BGR,BULLY_THREAT,0.9689154225896628,9,SCREADDIFF,0.030039342
BGR,BULLY_THREAT,0.9689154225896628,10,PERCOMP,0.02950027
BGR,BULLY_PHYSICAL,0.9592669452035321,1,EMOSUPS,0.09641068
BGR,BULLY_PHYSICAL,0.9592669452035321,2,ST207Q01HA,0.044214375
BGR,BULLY_PHYSICAL,0.9592669452035321,3,ST207Q04HA,0.040348243
BGR,BULLY_PHYSICAL,0.9592669452035321,4,ST207Q02HA,0.04018487
BGR,BULLY_PHYSICAL,0.9592669452035321,5,ST184Q01HA,0.036990404
BGR,BULLY_PHYSICAL,0.9592669452035321,6,ST207Q03HA,0.036805544
BGR,BULLY_PHYSICAL,0.9592669452035321,7,BELONG,0.03489722
BGR,BULLY_PHYSICAL,0.9592669452035321,8,PERCOOP,0.03362207
BGR,BULLY_PHYSICAL,0.9592669452035321,9,ST206Q01HA,0.033459008
BGR,BULLY_PHYSICAL,0.9592669452035321,10,ST004D01T,0.032452483
BGR,BULLY_RELATIONAL,0.9574525757067341,1,EMOSUPS,0.056850437
BGR,BULLY_RELATIONAL,0.9574525757067341,2,BELONG,0.046171702
BGR,BULLY_RELATIONAL,0.9574525757067341,3,ST207Q01HA,0.041888505
BGR,BULLY_RELATIONAL,0.9574525757067341,4,ST207Q05HA,0.039752286
BGR,BULLY_RELATIONAL,0.9574525757067341,5,PERCOMP,0.038287695
BGR,BULLY_RELATIONAL,0.9574525757067341,6,PERCOOP,0.03459883
BGR,BULLY_RELATIONAL,0.9574525757067341,7,ST206Q01HA,0.034036566
BGR,BULLY_RELATIONAL,0.9574525757067341,8,ST207Q02HA,0.031029882
BGR,BULLY_RELATIONAL,0.9574525757067341,9,ST207Q04HA,0.030123234
BGR,BULLY_RELATIONAL,0.9574525757067341,10,ST207Q03HA,0.025561174
BIH,BULLY_VERBAL,0.9558761589620942,1,BELONG,0.06379522
BIH,BULLY_VERBAL,0.9558761589620942,2,EMOSUPS,0.038904812
BIH,BULLY_VERBAL,0.9558761589620942,3,GFOFAIL,0.03728871
BIH,BULLY_VERBAL,0.9558761589620942,4,DISCLIMA,0.029964237
BIH,BULLY_VERBAL,0.9558761589620942,5,ST207Q04HA,0.028627934
BIH,BULLY_VERBAL,0.9558761589620942,6,ST207Q01HA,0.028494766
BIH,BULLY_VERBAL,0.9558761589620942,7,SWBP,0.026626477
BIH,BULLY_VERBAL,0.9558761589620942,8,ST004D01T,0.026601782
BIH,BULLY_VERBAL,0.9558761589620942,9,ST207Q02HA,0.025214655
BIH,BULLY_VERBAL,0.9558761589620942,10,PERCOOP,0.024804363
BIH,BULLY_THREAT,0.9611063615513251,1,ST207Q02HA,0.06084367
BIH,BULLY_THREAT,0.9611063615513251,2,BELONG,0.048168596
BIH,BULLY_THREAT,0.9611063615513251,3,EMOSUPS,0.047577783
BIH,BULLY_THREAT,0.9611063615513251,4,ST207Q03HA,0.039352164
BIH,BULLY_THREAT,0.9611063615513251,5,ST004D01T,0.033521913
BIH,BULLY_THREAT,0.9611063615513251,6,ST207Q01HA,0.032095216
BIH,BULLY_THREAT,0.9611063615513251,7,PERCOOP,0.030601488
BIH,BULLY_THREAT,0.9611063615513251,8,PV1READ,0.029497646
BIH,BULLY_THREAT,0.9611063615513251,9,ST207Q05HA,0.026849467
